COD_CURSO,CURSO,SETOR_CURSO
40001016004G0,AGRONOMIA - PALOTINA,SETOR PALOTINA
40001016112G0,TERAPIA OCUPACIONAL,SETOR DE CIÊNCIAS DA SAÚDE
40001016047G0,FILOSOFIA,SETOR DE CIÊNCIAS HUMANAS
40001016127G0,CIÊNCIAS AMBIENTAIS - LITORAL,SETOR LITORAL
40001016067G0,LETRAS,SETOR DE CIÊNCIAS HUMANAS
40001016070G0,MATEMÁTICA,SETOR DE CIÊNCIAS EXATAS
40001016044G0,ESTATÍSTICA,SETOR DE CIÊNCIAS EXATAS
40001016046G0,FARMÁCIA,SETOR DE CIÊNCIAS DA SAÚDE
40001016021G0,DIREITO,SETOR DE CIÊNCIAS JURÍDICAS
40001016030G0,ENGENHARIA CIVIL,SETOR DE TECNOLOGIA
40001016040G0,ENGENHARIA FLORESTAL,SETOR DE CIÊNCIAS AGRÁRIAS
40001016049G0,FÍSICA,SETOR DE CIÊNCIAS EXATAS
40001016006G0,CIÊNCIAS CONTÁBEIS,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
40001016039G0,ENGENHARIA ELÉTRICA,SETOR DE TECNOLOGIA
40001016087G0,QUÍMICA,SETOR DE CIÊNCIAS EXATAS
40001016003G0,AGRONOMIA ,SETOR DE CIÊNCIAS AGRÁRIAS
40001016016G0,CIÊNCIAS SOCIAIS,SETOR DE CIÊNCIAS HUMANAS
40001016079G0,NUTRIÇÃO,SETOR DE CIÊNCIAS DA SAÚDE
40001016007G0,ARTES VISUAIS,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016012G0,CIÊNCIAS BIOLÓGICAS,SETOR DE CIÊNCIAS BIOLÓGICAS
40001016024G0,ENFERMAGEM,SETOR DE CIÊNCIAS DA SAÚDE
40001016050G0,LICENCIATURA EM CIÊNCIAS EXATAS - JANDAIA,CAMPUS JANDAIA DO SUL
40001016111G0,TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016001G0,ADMINISTRAÇÃO,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
40001016045G0,EXPRESSÃO GRÁFICA,SETOR DE CIÊNCIAS EXATAS
40001016082G0,PEDAGOGIA,SETOR DE EDUCAÇÃO
40001016076G0,MEDICINA VETERINÁRIA,SETOR DE CIÊNCIAS AGRÁRIAS
40001016064G0,INFORMÁTICA BIOMÉDICA,SETOR DE CIÊNCIAS EXATAS
40001016022G0,EDUCAÇÃO FÍSICA,SETOR DE CIÊNCIAS BIOLÓGICAS
40001016005G0,ARQUITETURA E URBANISMO,SETOR DE TECNOLOGIA
40001016084G0,PSICOLOGIA,SETOR DE CIÊNCIAS HUMANAS
40001016041G0,ENGENHARIA INDUSTRIAL MADEIREIRA,SETOR DE CIÊNCIAS AGRÁRIAS
40001016114G0,ZOOTECNIA,SETOR DE CIÊNCIAS AGRÁRIAS
40001016042G0,ENGENHARIA MECÂNICA,SETOR DE TECNOLOGIA
40001016101G0,TECNOLOGIA EM GESTÃO DA QUALIDADE,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40000000000G0,PROGRAD,PRÓ-REITORIA DE GRADUAÇÃO
40001016073G0,MATEMÁTICA INDUSTRIAL,SETOR DE CIÊNCIAS EXATAS
40001016081G0,ODONTOLOGIA,SETOR DE CIÊNCIAS DA SAÚDE
40001016052G0,FISIOTERAPIA,SETOR DE CIÊNCIAS BIOLÓGICAS
40001016146G0,PRODUÇÃO CULTURAL,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016026G0,ENGENHARIA AMBIENTAL,SETOR DE TECNOLOGIA
40001016028G0,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA,SETOR DE CIÊNCIAS DA TERRA
40001016043G0,ENGENHARIA QUÍMICA,SETOR DE TECNOLOGIA
40001016122G0,DESIGN GRÁFICO,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016138G0,SERVIÇO SOCIAL - LITORAL,SETOR LITORAL
40001016078G0,MÚSICA,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016054G0,GEOGRAFIA,SETOR DE CIÊNCIAS DA TERRA
40001016109G0,TECNOLOGIA EM SECRETARIADO,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016033G0,ENGENHARIA DE AQUICULTURA - PALOTINA,SETOR PALOTINA
40001016130G0,GEOGRAFIA - LITORAL,SETOR LITORAL
40001016062G0,HISTÓRIA,SETOR DE CIÊNCIAS HUMANAS
40001016027G0,ENGENHARIA AMBIENTAL E SANITÁRIA - PONTAL DO PARANÁ,CENTRO DE ESTUDOS DO MAR
40001016020G0,DESIGN DE PRODUTO,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016015G0,CIÊNCIAS ECONÔMICAS,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
40001016034G0,ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA,SETOR DE TECNOLOGIA
40001016058G0,GESTÃO DA INFORMAÇÃO,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
40001016029G0,ENGENHARIA CIVIL - PONTAL DO PARANÁ,CENTRO DE ESTUDOS DO MAR
40001016038G0,ENGENHARIA DE PRODUÇÃO - JANDAIA,CAMPUS JANDAIA DO SUL
40001016143G0,RELAÇÕES PÚBLICAS,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016106G0,TECNOLOGIA EM NEGÓCIOS IMOBILIÁRIOS,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016125G0,ARTES - LITORAL,SETOR LITORAL
40001016113G0,TURISMO,SETOR DE CIÊNCIAS HUMANAS
40001016144G0,HISTÓRIA - MEMÓRIA E IMAGEM,SETOR DE CIÊNCIAS HUMANAS
40001016080G0,OCEANOGRAFIA,CENTRO DE ESTUDOS DO MAR
40001016013G0,CIÊNCIAS BIOLÓGICAS - PALOTINA,SETOR PALOTINA
40001016009G0,BIOMEDICINA,SETOR DE CIÊNCIAS BIOLÓGICAS
40001016133G0,GESTÃO DE TURISMO - LITORAL,SETOR LITORAL
40001016077G0,MEDICINA VETERINÁRIA - PALOTINA,SETOR PALOTINA
40001016105G0,TECNOLOGIA EM LUTERIA,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016037G0,ENGENHARIA DE PRODUÇÃO,SETOR DE TECNOLOGIA
40001016136G0,LINGUAGEM E COMUNICAÇÃO - LITORAL,SETOR LITORAL
40001016035G0,ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA - PALOTINA,SETOR PALOTINA
40001016056G0,GEOLOGIA,SETOR DE CIÊNCIAS DA TERRA
40001016032G0,ENGENHARIA DE AQUICULTURA - PONTAL DO PARANÁ,CENTRO DE ESTUDOS DO MAR
40001016123G0,ADMINISTRAÇÃO PÚBLICA - LITORAL,SETOR LITORAL
40001016025G0,ENGENHARIA AGRÍCOLA - JANDAIA,CAMPUS JANDAIA DO SUL
40001016142G0,PUBLICIDADE E PROPAGANDA,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016051G0,LICENCIATURA EM CIÊNCIAS EXATAS - PALOTINA,SETOR PALOTINA
40001016031G0,ENGENHARIA DE ALIMENTOS - JANDAIA,CAMPUS JANDAIA DO SUL
40001016100G0,TECNOLOGIA EM COMUNICAÇÃO INSTITUCIONAL,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016126G0,CIÊNCIAS - LITORAL,SETOR LITORAL
40001016010G0,CIÊNCIA DA COMPUTAÇÃO,SETOR DE CIÊNCIAS EXATAS
40001016124G0,AGROECOLOGIA - LITORAL,SETOR LITORAL
40001016036G0,ENGENHARIA DE ENERGIA,SETOR PALOTINA
40001016120G0,TÉCNICO EM PETRÓLEO E GÁS INTEGRADO AO ENSINO MÉDIO,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016104G0,TECNOLOGIA EM GESTÃO PÚBLICA,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
40001016048G0,LICENCIATURA EM CIÊNCIAS EXATAS - PONTAL DO PARANÁ,CENTRO DE ESTUDOS DO MAR
40001016134G0,GESTÃO E EMPREENDEDORISMO - LITORAL,SETOR LITORAL
40001016141G0,JORNALISMO,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016129G0,EDUCAÇÃO DO CAMPO - LITORAL,SETOR LITORAL
40001016018G0,COMPUTAÇÃO - PALOTINA,SETOR PALOTINA
40001016108G0,TECNOLOGIA EM PRODUÇÃO CÊNICA,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
