ID_PERGUNTA,ID_QUESTIONARIO,TITULO,CL_PERGUNTA,Ordem,Coluna1,PERGUNTA
1982,644,Missão e Plano de Desenvolvimento Institucional,Institucional,1,MsãoPDI,A missão* da UFPR é coerente com as necessidades locais e regionais.
1983,644,Missão e Plano de Desenvolvimento Institucional,Institucional,2,MsãoPDI,"Percebe-se que a sociedade reconhece a relevância da UFPR na construção de uma sociedade inclusiva, equânime e solidária, reflexo de sua missão* e valores**. "
1984,644,Missão e Plano de Desenvolvimento Institucional,Institucional,3,MsãoPDI,"Enquanto servidor (docente ou técnico), tenho familiaridade com o Plano de Desenvolvimento Institucional (PDI)* da UFPR.		"
1985,644,Missão e Plano de Desenvolvimento Institucional,Institucional,4,MsãoPDI,Percebo o envolvimento de diversos atores da unidade em que atuo na construção e revisão do Plano de Desenvolvimento Institucional (PDI).
1986,644,Missão e Plano de Desenvolvimento Institucional,Institucional,5,MsãoPDI,Os objetivos estratégicos do Plano de Desenvolvimento Institucional (PDI) para o quinquênio 2022-2026 estão alinhados à missão* e visão** da instituição.
1987,644,Missão e Plano de Desenvolvimento Institucional,Institucional,6,MsãoPDI,Há articulação entre o Plano de Desenvolvimento Institucional (PDI) e o Projeto Pedagógico Institucional (PPI).
1988,644,Missão e Plano de Desenvolvimento Institucional,Institucional,7,MsãoPDI,"Há coerência entre o Plano de Desenvolvimento Institucional (PDI) e as ações institucionais de ensino, pesquisa, extensão, inovação, internacionalização e gestão."
1989,644,Missão e Plano de Desenvolvimento Institucional,Institucional,8,MsãoPDI,As ações de diversidade e inclusão na universidade condizem com as metas estabelecidas no Plano de Desenvolvimento Institucional (PDI).
1990,644,Missão e Plano de Desenvolvimento Institucional,Institucional,9,MsãoPDI,"As ações voltadas à memória, ao patrimônio cultural e à produção artística na universidade estão de acordo com as metas estabelecidas no Plano de Desenvolvimento Institucional (PDI)."
1991,644,Missão e Plano de Desenvolvimento Institucional,Institucional,10,MsãoPDI,As ações de preservação do meio-ambiente e de desenvolvimento sustentável na universidade estão em sintonia com as metas estabelecidas no Plano de Desenvolvimento Institucional (PDI).
1992,644,Missão e Plano de Desenvolvimento Institucional,Institucional,11,MsãoPDI,"O planejamento interno setorial, com metas e atividades claramente definidas, está alinhado aos objetivos estratégicos e módulos de ação traçados no Plano de Desenvolvimento Institucional (PDI)."
1994,645,Responsabilidade Social,Institucional,13,RsSc,As ações de inclusão e diversidade social são efetivas na instituição*.
1995,645,Responsabilidade Social,Institucional,14,RsSc,"Estão implantadas iniciativas institucionais e/ou setoriais que promovem a proteção ambiental, como a correta separação de lixo, a destinação responsável de resíduos, o aproveitamento de recursos naturais, o tratamento de efluentes, e/ou outras iniciativas.		"
1996,645,Responsabilidade Social,Institucional,15,RsSc,"Os projetos institucionais e/ou setoriais de incentivo ao uso consciente de água, energia elétrica e suprimentos (materiais de expediente, laboratoriais, limpeza e higienização, proteção e segurança etc.) são eficazes.		"
1997,645,Responsabilidade Social,Institucional,16,RsSc,"O planejamento setorial, com o apoio da administração central da UFPR, considera a necessidade de adaptações físicas para a melhoria da acessibilidade nos ambientes internos e nos campi."
1998,645,Responsabilidade Social,Institucional,17,RsSc,"A universidade contribui efetivamente com a criação de conhecimentos para o desenvolvimento científico, técnico e profissional do país."
1999,645,Responsabilidade Social,Institucional,18,RsSc,"São notórios os programas e projetos de extensão, bem como projetos institucionais que colaboram com o desenvolvimento econômico e social da região."
2000,645,Responsabilidade Social,Institucional,19,RsSc,A universidade promove cursos e programas de formação inicial e continuada de docentes para a educação básica.
2001,645,Responsabilidade Social,Institucional,20,RsSc,"São visíveis as ações que fortalecem e preservam a memória cultural, a produção artística e o patrimônio cultural da instituição."
2002,645,Responsabilidade Social,Institucional,21,RsSc,"A relação da UFPR com os setores público e privado, com o mercado de trabalho e com instituições sociais, culturais e educativas são suficientes e cooperam para o desenvolvimento institucional."
2004,646,Políticas de Pessoal,Institucional,23,PolPes,As necessidades institucionais de pessoal estão bem dimensionadas e o quadro é adequado às demandas da minha unidade de lotação.
2005,646,Políticas de Pessoal,Institucional,24,PolPes,"O processo de movimentação interna é objetivo e transparente, permitindo a adaptação e acolhimento dos servidores, consideradas suas habilidades e conhecimentos, para a melhor ocupação das vagas."
2006,646,Políticas de Pessoal,Institucional,25,PolPes,"Os procedimentos para mobilidade de pessoal (redistribuição, colaboração técnica, exercício provisório, requisição, cessão e remoção) estão claros na instituição."
2007,646,Políticas de Pessoal,Institucional,26,PolPes,Os gestores respeitam as descrições legais dos diversos cargos técnico-administrativos em educação e alinham as metas institucionais às responsabilidades dos cargos.
2008,646,Políticas de Pessoal,Institucional,27,PolPes,Os servidores técnico-administrativos participam do levantamento e definição das necessidades de capacitação e qualificação para a elaboração anual do Plano de Desenvolvimento de Pessoas (PDP) da unidade.
2009,646,Políticas de Pessoal,Institucional,28,PolPes,A instituição incentiva e propicia o aperfeiçoamento profissional e cidadão e a formação continuada dos servidores docentes e técnicos.
2010,646,Políticas de Pessoal,Institucional,29,PolPes,As normativas legais e institucionais estão claras e orientam os servidores no que se refere à obtenção de auxílios financeiros e licenças para desenvolvimento profissional.
2011,646,Políticas de Pessoal,Institucional,30,PolPes,"O processo de avaliação de desempenho dos servidores técnico-administrativos é transparente e organizado, e os resultados orientam os gestores na busca de soluções para a melhoria do desempenho das unidades."
2012,646,Políticas de Pessoal,Institucional,31,PolPes,"As ações de promoção da saúde e qualidade de vida (acompanhamento, prevenção e assistência) são adequadas às necessidades institucionais."
2013,646,Políticas de Pessoal,Institucional,32,PolPes,"As ações de prevenção e promoção da segurança no trabalho, incluindo a fiscalização das condições de trabalho físicas e do ambiente, são efetivas na UFPR."
2015,647,Organização e Gestão da Instituição,Institucional,34,OrgGesInst,"O funcionamento dos colegiados de curso, plenárias departamentais, conselhos setoriais e conselhos superiores é transparente, autônomo e com representatividade de todos os segmentos da comunidade universitária nos processos decisórios."
2016,647,Organização e Gestão da Instituição,Institucional,35,OrgGesInst,"As decisões e documentações resultantes das sessões dos colegiados, plenárias e conselhos são apropriadas pela comunidade interna e guiam os processos de gestão institucional."
2017,647,Organização e Gestão da Instituição,Institucional,36,OrgGesInst,"As atribuições e competências de cada unidade organizacional estão claras e organizadas em regimentos, e refletem a realidade da área."
2018,647,Organização e Gestão da Instituição,Institucional,37,OrgGesInst,"São aplicados mecanismos* efetivos de desburocratização e racionalização dos serviços, visando à otimização do trabalho e à agilidade no atendimento aos públicos."
2019,647,Organização e Gestão da Instituição,Institucional,38,OrgGesInst,"Os gestores acadêmicos e administrativos (pró-reitores, diretores, chefias, coordenadores, superintendentes e equivalentes) estão adequadamente capacitados pela instituição para assumirem suas funções."
2020,647,Organização e Gestão da Instituição,Institucional,39,OrgGesInst,"As unidades gestoras conduzem a organização do teletrabalho de forma adequada, levando em consideração os objetivos do Programa de Gestão e Desempenho (PGD)."
2021,647,Organização e Gestão da Instituição,Institucional,40,OrgGesInst,A instituição acolhe e apoia aqueles que sofrem qualquer forma de violência* dentro do ambiente da universidade.
2022,647,Organização e Gestão da Instituição,Institucional,41,OrgGesInst,São visíveis os movimentos de incentivo à inovação tecnológica por meio de parcerias.
2023,647,Organização e Gestão da Instituição,Institucional,42,OrgGesInst,"Enquanto servidor (docente ou técnico) lotado em campus/setor fora da sede, observo o diálogo entre a administração central e o campus/setor para garantir a integração e a implantação de projetos de desenvolvimento institucional que consolidam e valorizam esses espaços."
2024,647,Organização e Gestão da Instituição,Institucional,43,OrgGesInst,O apoio em tecnologias de informação e comunicação para as atividades de gestão acadêmica e administrativa é adequado à demanda institucional.
2025,647,Organização e Gestão da Instituição,Institucional,44,OrgGesInst,"A instituição dá suporte à comunidade interna nas demandas de proteção do conhecimento, transferência de tecnologia e negociação da propriedade intelectual."
2026,647,Organização e Gestão da Instituição,Institucional,45,OrgGesInst,A cultura empreendedora e de incubação de empresas é disseminada para toda a comunidade universitária.
2027,647,Organização e Gestão da Instituição,Institucional,46,OrgGesInst,São organizadas e transparentes as políticas e normativas de gestão de patrimônio.
2028,647,Organização e Gestão da Instituição,Institucional,47,OrgGesInst,São organizadas e transparentes as políticas e normativas de gestão de suprimentos/materiais de consumo*.
2029,647,Organização e Gestão da Instituição,Institucional,48,OrgGesInst,Há transparência na gestão e no planejamento da força de trabalho terceirizada.
2031,648,Sustentabilidade Financeira,Institucional,50,SustFin,As políticas de controle orçamentário e de alocação de recursos refletem o planejamento institucional.
2033,648,Sustentabilidade Financeira,Institucional,51,SustFin,As políticas de captação e alocação de recursos são transparentes e amplamente disseminadas na instituição.
2034,648,Sustentabilidade Financeira,Institucional,52,SustFin,"A formalização de parcerias com captação de recursos externos e financiamentos produzem resultados efetivos nas atividades de ensino, pesquisa e extensão."
2035,648,Sustentabilidade Financeira,Institucional,53,SustFin,"As fundações gerenciam de forma transparente os recursos que recebem, provenientes de captação externa."
2036,648,Sustentabilidade Financeira,Institucional,54,SustFin,A transparência no gerenciamento das licitações e contratações para aquisições de materiais e serviços é prática da instituição.
2014,646,Políticas de Pessoal,Institucional,33,PolPes,"Se desejar, indique suas percepções sobre as políticas de pessoal na UFPR em geral ou em alguma situação específica."
2038,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,56,CHC,A missão* do Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh) é coerente com as necessidades locais e regionais.
2039,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,57,CHC,"Percebe-se que a sociedade reconhece a relevância e excelência do Complexo do Hospital de Clínicas na rede de serviços em saúde, reflexo de sua missão* e valores**."
2040,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,58,CHC,"Enquanto servidor (docente ou técnico) em exercício no Complexo do Hospital de Clínicas, estou familiarizado com o Plano Diretor Estratégico (PDE)*."
2041,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,59,CHC,"O planejamento interno da minha unidade/setor/divisão/gerência, com metas e atividades claramente definidas, está alinhado aos objetivos estratégicos e indicadores traçados no Plano Diretor Estratégico (PDE)."
2042,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,60,CHC,O Complexo do Hospital de Clínicas promove um ambiente de respeito e acolhimento à diversidade.
2043,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,61,CHC,Os ambientes de trabalho do Complexo do Hospital de Clínicas são adaptados para receber profissionais PCD (pessoa com deficiência).
2044,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,62,CHC,"A política de Gestão de Resíduos do Complexo do Hospital de Clínicas é efetiva e contempla treinamentos e cursos para os profissionais, referentes ao descarte correto de resíduos."
2045,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,63,CHC,"No Complexo do Hospital de Clínicas, é incentivado o uso consciente de água, energia elétrica e suprimentos (materiais de expediente, hospitalares, laboratoriais, de imagem, limpeza e higienização, proteção e segurança etc.).	"
2046,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,64,CHC,"A gestão do Complexo do Hospital de Clínicas está aberta às sugestões de cursos e treinamentos por parte dos profissionais, quando da elaboração do Plano de Desenvolvimento de Competências (PDC)."
2047,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,65,CHC,As políticas de movimentação interna no Complexo do Hospital de Clínicas são amplamente divulgadas nos meios de comunicação internos.
2048,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,66,CHC,"São visíveis no Complexo do Hospital de Clínicas a promoção da valorização profissional e a melhora do clima organizacional por meio de estratégias de acolhimento, práticas integrativas e ações de cuidado e promoção da saúde."
2049,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,67,CHC,O Complexo do Hospital de Clínicas oferece condições adequadas para a articulação entre teoria e prática no processo formativo de estudantes de graduação e pós-graduação.
2050,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,68,CHC,"É visível a implantação de ações inovadoras de gestão pública no Complexo do Hospital de Clínicas, bem como a capacidade institucional em gestão hospitalar."
2051,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,69,CHC,"Há investimento em novas tecnologias de informação, a exemplo da implantação do AGHU - Aplicativo de Gestão para Hospitais Universitários, do Aplicativo da Lista de Espera Cirúrgica (LEC) e do Sistema Regula +."
2052,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,70,CHC,"Os investimentos no parque tecnológico, a exemplo dos exames por imagem, novos monitores para painéis e novos computadores, promovem o desenvolvimento institucional."
2053,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,71,CHC,"A política de gestão da qualidade e segurança do paciente no Complexo do Hospital de Clínicas está consolidada e percebe-se a adesão, de modo geral, dos profissionais aos protocolos (identificação do paciente, uso seguro de medicamentos, prevenção de quedas, prevenção de lesões por pressão, cirurgia segura e higienização de mãos)."
2054,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,72,CHC,"É perceptível a adesão, de modo geral, dos profissionais do Complexo do Hospital de Clínicas às medidas de prevenção e controle de infecções relacionadas à assistência e à saúde."
2055,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,73,CHC,"O Programa Ebserh de Gestão da Qualidade está consolidado no Complexo do Hospital de Clínicas e promove e incentiva a cultura de melhoria contínua dos serviços prestados nas áreas gerenciais, de ensino e extensão, assistência à saúde, pesquisa e inovação, e de suporte."
2057,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,74,CHC,"Os processos de compras e contratações no Complexo do Hospital de Clínicas estão em constante aprimoramento, com foco no abastecimento sustentável."
2003,645,Responsabilidade Social,Institucional,22,RsSc,"Se desejar, indique suas percepções sobre responsabilidade social na UFPR em geral ou em alguma situação específica."
1993,644,Missão e Plano de Desenvolvimento Institucional,Institucional,12,MsãoPDI,"Se desejar, indique suas percepções sobre a missão e o Plano de Desenvolvimento Institucional (PDI) na UFPR em geral ou em alguma situação específica."
2030,647,Organização e Gestão da Instituição,Institucional,49,OrgGesInst,"Se desejar, indique suas percepções sobre a organização e gestão institucional na UFPR em geral ou em alguma situação específica."
2037,648,Sustentabilidade Financeira,Institucional,55,SustFin,"Se desejar, indique suas percepções sobre a sustentabilidade financeira na UFPR em geral ou em alguma situação específica."
1828,649,Complexo do Hospital de Clínicas (CHC-UFPR/Ebserh),Institucional,75,CHC,"Se desejar, indique suas percepções sobre as Políticas do Complexo do Hospital de Clínicas em seu papel como um hospital-escola."
